label,x,y,z,timestamp,
18,-0.47024748,-0.4006324,0.5107991,0.59786725,0.5235988,1496906733237
18,-0.46995515,-0.3959492,0.50993276,0.60194266,0.5235988,1496906733242
18,-0.47057796,-0.3908093,0.5083577,0.6061328,0.5235988,1496906733248
18,-0.4719804,-0.3853959,0.506234,0.61027175,0.5235988,1496906733253
18,-0.47402868,-0.37988248,0.50370574,0.6142204,0.5235988,1496906733258
18,-0.47647598,-0.37449342,0.5009578,0.6178726,0.5235988,1496906733263
18,-0.4792205,-0.36931637,0.49809614,0.62117094,0.5235988,1496906733268
18,-0.48233005,-0.3647153,0.4953153,0.6237012,0.5235988,1496906733273
18,-0.48634386,-0.361239,0.49278325,0.62461245,0.5235988,1496906733278
18,-0.49035463,-0.3586061,0.49046075,0.6248218,0.5235988,1496906733283
18,-0.49334636,-0.35586947,0.48836407,0.6256731,0.5235988,1496906733288
18,-0.4957616,-0.35313782,0.4865898,0.6266933,0.5235988,1496906733292
18,-0.49813405,-0.3508055,0.48494908,0.62739336,0.5235988,1496906733297
18,-0.50053686,-0.3488697,0.48339304,0.62776107,0.5235988,1496906733303
18,-0.5030497,-0.3472003,0.4817012,0.62797844,0.5235988,1496906733308
18,-0.50569224,-0.3457359,0.4798582,0.62807494,0.5235988,1496906733312
18,-0.5084875,-0.34436607,0.4777951,0.6281435,0.5235988,1496906733318
18,-0.51137036,-0.34307206,0.4755839,0.6281893,0.5235988,1496906733322
18,-0.5143725,-0.34177235,0.4731167,0.6283098,0.5235988,1496906733328
18,-0.5174542,-0.34056497,0.47044048,0.62844443,0.5235988,1496906733333
18,-0.5206115,-0.33950427,0.46752885,0.62858355,0.5235988,1496906733338
18,-0.5237993,-0.3387958,0.46442777,0.62861633,0.5235988,1496906733343
18,-0.5270447,-0.33847246,0.46106124,0.62855613,0.5235988,1496906733347
18,-0.5303045,-0.33868176,0.45754394,0.62827176,0.5235988,1496906733352
18,-0.5335548,-0.33948398,0.45394734,0.62769556,0.5235988,1496906733358
18,-0.53682196,-0.34085026,0.4503929,0.6267292,0.5235988,1496906733363
18,-0.54013586,-0.3426758,0.44680223,0.6254553,0.5235988,1496906733368
18,-0.54349416,-0.3448863,0.44315246,0.6239258,0.5235988,1496906733372
18,-0.546863,-0.34741345,0.4393972,0.62223375,0.5235988,1496906733378
18,-0.5502424,-0.35030055,0.43549216,0.62037843,0.5235988,1496906733382
18,-0.5536938,-0.3534975,0.43132412,0.61840296,0.5235988,1496906733387
