,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rot_phone_x,rot_phone_y,rot_phone_z,rot_phone_theta,rot_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk
2017-06-21 01:58:27.795,2.0664409095,-8.8404066725,-1.59806487925,0.0114457873453,0.001290978335,-0.0111157228125,-0.22736721,-0.718070784,0.54795894485,0.36388903805,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:28.795,2.14240808722,-8.83783855138,-1.51773414662,0.00753846225414,0.00650042268571,-0.00749309809048,-0.22456133795,-0.7160764928,0.5484043289,0.36885565105,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:29.795,2.16412178275,-8.8395564375,-1.475379997,-0.00233440824275,-0.000239562953,-0.0009209866195,-0.22555608215,-0.71432531685,0.54760690715,0.3728136153,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:30.795,2.155206316,-8.838933755,-1.50594643275,0.00170089724475,0.00407257083075,-0.00266979645475,-0.2269039919,-0.71434587995,0.5460205998,0.3742782731,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:31.795,2.17018118025,-8.83588007,-1.487223367,0.00103012084225,0.004333428352,-0.0036573283195,-0.22850808925,-0.71318386195,0.54462200565,0.3775424042,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:32.795,2.17546416366,-8.83703420301,-1.49068662932,0.000667120553885,0.00561982352506,-0.00177720915313,-0.23062171495,-0.712086374,0.5429297007,0.3807524959,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:33.795,2.18297058375,-8.8398079225,-1.461452956,0.003779771675,0.004179043265,-0.00307439172975,-0.2326959076,-0.7101489364,0.54207069805,0.38431649405,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:34.795,2.19235536015,-8.83851681704,-1.44692199549,-0.00156639904787,0.00238295463759,-0.00198001381303,-0.23445139585,-0.70928134145,0.54036217745,0.38724694305,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:35.795,2.15656549475,-8.83526334875,-1.5116705315,-0.00951597438025,-0.0071762424915,0.00447184254225,-0.23718160245,-0.7106126412,0.53831755365,0.3859799278,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:36.795,2.08317012125,-8.83680814875,-1.58035370925,9.84870175e-05,0.003803727909,-0.001030120863,-0.24247334395,-0.7110157037,0.5355884823,0.3857544788,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:37.795,2.0915646645,-8.8365447025,-1.5707796145,0.002243906665,0.00303446455325,-0.00398473107925,-0.2439987528,-0.7103566495,0.5343052085,0.38778203135,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:38.795,2.12195745825,-8.8399276275,-1.546871332,0.00078257244125,0.00336985273325,-0.004003363759,-0.2447743134,-0.70935741715,0.53310259235,0.39076606565,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:39.795,2.13940681328,-8.8270759599,-1.57373198246,-0.000499006166165,0.00567853013709,-0.00352506501955,-0.24760155305,-0.70910911625,0.5304581044,0.3930261457,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:40.795,2.1459795065,-8.83265881625,-1.549392087,0.00422163228475,0.001775427942,-0.00545405077,-0.2490916841,-0.7078401298,0.52901779445,0.3963013499,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:41.795,2.18584858596,-8.82721403133,-1.52009315238,-0.00206556534475,0.00304244999675,-0.001644999201,-0.2501972654,-0.70689131435,0.5275788418,0.39920539065,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:42.795,2.14726085125,-8.83124573375,-1.569743767,-0.00395735914912,0.00141429555739,0.00173184496015,-0.2544224188,-0.7069823841,0.52520048365,0.39950926705,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:43.795,2.13449539175,-8.8331437825,-1.5806051875,0.00210283071675,0.00253936775625,-0.00366797559,-0.2569511138,-0.7065151531,0.5237156451,0.40066641165,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:44.795,2.154445897,-8.82871297625,-1.55748725925,0.002105492506,0.004061923644,-0.0038862440725,-0.2582191561,-0.70564956555,0.52254694615,0.4028960449,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:45.795,2.165061829,-8.82954520375,-1.54769761475,-4.2588993e-05,0.0014586724695,-0.00393681849075,-0.25935694565,-0.7050863156,0.52117069465,0.4049287836,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:46.795,2.2034060589,-8.81902654762,-1.52466109674,0.00497138239975,0.00338096698546,-0.0053076111,-0.26013707035,-0.70423967735,0.5197719029,0.407690088,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:47.795,2.208489517,-8.82514441625,-1.51756227625,-0.00429882477175,0.00022359209625,0.0010806952805,-0.26164764405,-0.70362870975,0.5187689547,0.40905344905,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:48.795,2.12515074637,-8.8215596203,-1.61407516491,-0.00755155784575,0.00472737636775,0.0039634365755,-0.2656789136,-0.70535637785,0.51702756155,0.40566244985,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:49.795,2.12445426425,-8.82805436,-1.559972091,0.0116078976672,0.00293266189123,-0.00584397604536,-0.27123436665,-0.70333965265,0.5162971975,0.40642138405,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:50.795,2.23721777875,-8.82804237875,-1.4309763285,0.0121857707875,0.0156514487315,-0.0122549778825,-0.26994616165,-0.69916144385,0.51635085805,0.41430098755,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:51.795,2.26662861441,-8.83577830625,-1.68306412298,-0.129390633204,0.0490278986448,-0.0999749593695,-0.2474012546,-0.7113941954,0.51943210905,0.4027835593,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:52.795,1.61672228926,-8.3448486807,-3.59394005881,-0.140644769739,-0.422895226218,0.510048240904,-0.33880235385,-0.7628324935,0.4323097929,0.32735176055,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:53.795,-6.35199324783,-5.26985151796,0.09996211842,-0.0350905428759,,0.79026300027,0.0647892276835,0.45541918715,-0.3718549966,0.369788014777,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:54.795,-1.06931638692,5.45429794901,6.89629737065,0.818818315213,0.008219671255,0.704615976893,0.34433243285,-0.0157561984608,-0.201672684875,0.90134523515,0.5235988,0,0,1,0,0,0
2017-06-21 01:58:55.795,-0.810837195659,8.07494376717,6.13131630802,-0.0449238992531,0.522838389018,0.212592641894,0.4517966679,0.10080208297,0.106332993957,0.8748062362,0.5235988,0,0,1,0,0,0
